Entity,Code,Year,Population by Country (Clio Infra (2016))
Australia,AUS,1500,450000
Australia,AUS,1600,450000
Australia,AUS,1700,450000
Australia,AUS,1800,200000
Australia,AUS,1820,334000
Australia,AUS,1830,330000
Australia,AUS,1840,420000
Australia,AUS,1850,605000
Australia,AUS,1860,1326000
Australia,AUS,1870,1775000
Australia,AUS,1880,2197000
Australia,AUS,1890,3107000
Australia,AUS,1900,3741000
Australia,AUS,1910,4375000
Australia,AUS,1920,5358000
Australia,AUS,1930,6469000
Australia,AUS,1940,7042000
Australia,AUS,1950,8267337
Australia,AUS,1960,10361273
Australia,AUS,1970,12660160
Australia,AUS,1980,14615900
Australia,AUS,1990,16956000
Australia,AUS,2000,19053000
China,CHN,1500,103000000
China,CHN,1600,160000000
China,CHN,1650,140000000
China,CHN,1700,138000000
China,CHN,1750,225000000
China,CHN,1800,330000000
China,CHN,1810,345717000
China,CHN,1820,381000000
China,CHN,1830,409000000
China,CHN,1840,412000000
China,CHN,1850,412000000
China,CHN,1860,377000000
China,CHN,1870,358000000
China,CHN,1880,368000000
China,CHN,1890,380000000
China,CHN,1900,400000000
China,CHN,1910,423000000
China,CHN,1920,472000000
China,CHN,1930,489000000
China,CHN,1940,518770000
China,CHN,1950,546815000
China,CHN,1960,667070000
China,CHN,1970,818315000
China,CHN,1980,981861000
China,CHN,1990,1135185000
China,CHN,2000,1262645000
United Kingdom,GBR,1500,3942000
United Kingdom,GBR,1600,6170000
United Kingdom,GBR,1650,5800000
United Kingdom,GBR,1700,8565000
United Kingdom,GBR,1750,7250000
United Kingdom,GBR,1800,10750000
United Kingdom,GBR,1810,11970000
United Kingdom,GBR,1820,21239000
United Kingdom,GBR,1830,24139000
United Kingdom,GBR,1840,26745000
United Kingdom,GBR,1850,27181000
United Kingdom,GBR,1860,28888000
United Kingdom,GBR,1870,31400000
United Kingdom,GBR,1880,34623000
United Kingdom,GBR,1890,37485000
United Kingdom,GBR,1900,41155000
United Kingdom,GBR,1910,44916000
United Kingdom,GBR,1920,46821000
United Kingdom,GBR,1930,45866000
United Kingdom,GBR,1940,48226000
United Kingdom,GBR,1950,50127000
United Kingdom,GBR,1960,52372000
United Kingdom,GBR,1970,55632000
United Kingdom,GBR,1980,56314000
United Kingdom,GBR,1990,57493307
United Kingdom,GBR,2000,59522468
United States,USA,1500,2000000
United States,USA,1600,1500000
United States,USA,1700,1000000
United States,USA,1750,2000000
United States,USA,1800,6000000
United States,USA,1810,7240000
United States,USA,1820,9980510.2
United States,USA,1830,13240313.9
United States,USA,1840,17443768
United States,USA,1850,23579717.9
United States,USA,1860,31838900.7
United States,USA,1870,40240629.5
United States,USA,1880,50458000
United States,USA,1890,63302000
United States,USA,1900,76391000
United States,USA,1910,92767000
United States,USA,1920,106881000
United States,USA,1930,123668000
United States,USA,1940,132637000
United States,USA,1950,152271000
United States,USA,1960,180671000
United States,USA,1970,205052000
United States,USA,1980,227726463
United States,USA,1990,250131894
United States,USA,2000,282158000
